SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
Emma C Attales,1,10,50,ATLANTIC,ABSECON CITY,96
H Ashton Marsh,1,10,60,ATLANTIC,ABSECON CITY,97
Atlantic City High School,1,110,10,ATLANTIC,ATLANTIC CITY,97
Sovereign Avenue School,1,110,30,ATLANTIC,ATLANTIC CITY,96
Chelsea Heights School,1,110,50,ATLANTIC,ATLANTIC CITY,95
Texas Avenue School,1,110,60,ATLANTIC,ATLANTIC CITY,97
New York Avenue School,1,110,70,ATLANTIC,ATLANTIC CITY,95
Uptown School Complex,1,110,80,ATLANTIC,ATLANTIC CITY,96
PENNSYLVANIA AVE SCHOOL,1,110,100,ATLANTIC,ATLANTIC CITY,97
Richmond Avenue School,1,110,120,ATLANTIC,ATLANTIC CITY,97
Venice Park School,1,110,130,ATLANTIC,ATLANTIC CITY,97
Dr Martin Luther King Jr School Complex,1,110,140,ATLANTIC,ATLANTIC CITY,97
Brighton Avenue School,1,110,300,ATLANTIC,ATLANTIC CITY,97
Atlantic County Institute of Technology,1,120,10,ATLANTIC,ATLANTIC CO VOCATIONAL,93
Atlantic County Elementary and Middle Schools,1,125,30,ATLANTIC,ATLANTIC CO SPECIAL SERV,96
Atlantic County High School,1,125,60,ATLANTIC,ATLANTIC CO SPECIAL SERV,96
Brigantine Elementary School,1,570,10,ATLANTIC,BRIGANTINE CITY,96
Brigantine North Middle School,1,570,30,ATLANTIC,BRIGANTINE CITY,96
BUENA REGIONAL HIGH SCHOOL,1,590,25,ATLANTIC,BUENA REGIONAL,91
BUENA REGIONAL MIDDLE SCHOOL,1,590,30,ATLANTIC,BUENA REGIONAL,89
COLLINGS LAKES ELEMENTARY SCHOOL,1,590,45,ATLANTIC,BUENA REGIONAL,91
JOHN C. MILANESI ELEMENTARY SCHOOL,1,590,55,ATLANTIC,BUENA REGIONAL,93
DR. J.P. CLEARY ELEMENTARY,1,590,300,ATLANTIC,BUENA REGIONAL,90
Charles L. Spragg School,1,1300,20,ATLANTIC,EGG HARBOR CITY,94
EGG HARBOR CITY COMMUNITY SCH,1,1300,30,ATLANTIC,EGG HARBOR CITY,99
EGG HARBOR TOWNSHIP HIGH SCHOOL,1,1310,5,ATLANTIC,EGG HARBOR TWP,97
CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,1,1310,33,ATLANTIC,EGG HARBOR TWP,96
E. H. SLAYBAUGH ELEMENTARY SCHOOL,1,1310,35,ATLANTIC,EGG HARBOR TWP,96
ALDER AVENUE MIDDLE SCHOOL,1,1310,38,ATLANTIC,EGG HARBOR TWP,96
FERNWOOD AVENUE MIDDLE SCHOOL,1,1310,39,ATLANTIC,EGG HARBOR TWP,95
DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,1,1310,45,ATLANTIC,EGG HARBOR TWP,99
H. RUSSEL SWIFT ELEMENTARY SCHOOL,1,1310,50,ATLANTIC,EGG HARBOR TWP,97
Estell Manor Elementary School,1,1410,50,ATLANTIC,ESTELL MANOR CITY,98
Folsom Elementary School,1,1540,50,ATLANTIC,FOLSOM BORO,95
Arthur Rann Elementary School,1,1690,15,ATLANTIC,GALLOWAY TWP,97
Galloway Township Middle School,1,1690,16,ATLANTIC,GALLOWAY TWP,97
Pomona Preschool,1,1690,40,ATLANTIC,GALLOWAY TWP,95
Reeds Road Elementary School,1,1690,45,ATLANTIC,GALLOWAY TWP,96
Roland Rogers Elementary School,1,1690,46,ATLANTIC,GALLOWAY TWP,96
Smithville Elementary School,1,1690,48,ATLANTIC,GALLOWAY TWP,97
Absegami High School,1,1790,40,ATLANTIC,GREATER EGG HARBOR REG,97
Oakcrest High School,1,1790,50,ATLANTIC,GREATER EGG HARBOR REG,97
Cedar Creek High School,1,1790,60,ATLANTIC,GREATER EGG HARBOR REG,97
GEORGE L. HESS EDUCATIONAL COMPLEX,1,1940,55,ATLANTIC,HAMILTON TWP,97
JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,1,1940,60,ATLANTIC,HAMILTON TWP,97
WILLIAM DAVIES MIDDLE SCHOOL,1,1940,120,ATLANTIC,HAMILTON TWP,97
Hammonton Early Childhood Eductional Center,1,1960,30,ATLANTIC,HAMMONTON TOWN,96
Hammonton High School,1,1960,50,ATLANTIC,HAMMONTON TOWN,97
Warren E. Sooy Jr. Elementary School,1,1960,55,ATLANTIC,HAMMONTON TOWN,97
Hammonton Middle School,1,1960,60,ATLANTIC,HAMMONTON TOWN,97
Belhaven Middle School,1,2680,20,ATLANTIC,LINWOOD CITY,97
Seaview Elementary School,1,2680,50,ATLANTIC,LINWOOD CITY,98
MAINLAND REGIONAL HIGH SCHOOL,1,2910,50,ATLANTIC,MAINLAND REGIONAL,97
Eugene A. Tighe Middle School,1,3020,10,ATLANTIC,MARGATE CITY,93
William H. Ross III School,1,3020,25,ATLANTIC,MARGATE CITY,91
Mullica Township Primary School,1,3480,20,ATLANTIC,MULLICA TWP,96
Mullica Township Middle School,1,3480,25,ATLANTIC,MULLICA TWP,97
Northfield Community Middle School,1,3720,56,ATLANTIC,NORTHFIELD CITY,100
Northfield Community Elementary School,1,3720,57,ATLANTIC,NORTHFIELD CITY,99
PLEASANTVILLE HIGH SCHOOL,1,4180,50,ATLANTIC,PLEASANTVILLE CITY,93
PLEASANTVILLE MIDDLE SCHOOL,1,4180,55,ATLANTIC,PLEASANTVILLE CITY,93
WASHINGTON AVENUE ELEMENTARY SCHOOL,1,4180,60,ATLANTIC,PLEASANTVILLE CITY,89
Leeds Avenue Elementary School,1,4180,80,ATLANTIC,PLEASANTVILLE CITY,96
NORTH MAIN ST ELEMENTARY SCHOOL,1,4180,85,ATLANTIC,PLEASANTVILLE CITY,95
SOUTH MAIN STREET ELEMENTARY SCHOOL,1,4180,95,ATLANTIC,PLEASANTVILLE CITY,96
Decatur Avenue Early Childhood Center,1,4180,100,ATLANTIC,PLEASANTVILLE CITY,95
Port Republic Elementary School,1,4240,50,ATLANTIC,PORT REPUBLIC CITY,98
Dawes Avenue Elementary School,1,4800,50,ATLANTIC,SOMERS POINT CITY,97
Jordan Road Elementary School,1,4800,55,ATLANTIC,SOMERS POINT CITY,98
New York Avenue Elementary School,1,4800,60,ATLANTIC,SOMERS POINT CITY,98
Ventnor Middle School,1,5350,40,ATLANTIC,VENTNOR CITY,97
Ventnor Elementary School,1,5350,45,ATLANTIC,VENTNOR CITY,97
Weymouth Township Elementary School,1,5760,20,ATLANTIC,WEYMOUTH TWP,95
Brookside,3,40,10,BERGEN,ALLENDALE BORO,98
Hillside Elementary School,3,40,20,BERGEN,ALLENDALE BORO,98
Alpine Elementary School,3,80,10,BERGEN,ALPINE BORO,96
N. A. Bleshman Regional Day School,3,285,2,BERGEN,BERGEN CO SPECIAL SERVICE,96
Millburn Regional Day School,3,285,3,BERGEN,BERGEN CO SPECIAL SERVICE,0
HEARING IMPAIRED,3,285,30,BERGEN,BERGEN CO SPECIAL SERVICE,95
MULTIPLY HANDICAPED,3,285,40,BERGEN,BERGEN CO SPECIAL SERVICE,97
EMOTIONALLY DISTURBED,3,285,50,BERGEN,BERGEN CO SPECIAL SERVICE,96
LIFE SKILLS,3,285,70,BERGEN,BERGEN CO SPECIAL SERVICE,95
AUTISTIC,3,285,100,BERGEN,BERGEN CO SPECIAL SERVICE,94
Bergen County Academies,3,290,20,BERGEN,BERGEN COUNTY VOCATIONAL,98
Bergen County Technical High School - Paramus,3,290,30,BERGEN,BERGEN COUNTY VOCATIONAL,96
Bergen County Technical High School - Teterboro,3,290,70,BERGEN,BERGEN COUNTY VOCATIONAL,96
Bergen County Technical High School - Paramus,3,290,75,BERGEN,BERGEN COUNTY VOCATIONAL,97
Applied Technology High School,3,290,300,BERGEN,BERGEN COUNTY VOCATIONAL,97
Bergenfield High School,3,300,20,BERGEN,BERGENFIELD BORO,97
Franklin Elementary School,3,300,40,BERGEN,BERGENFIELD BORO,96
Hoover Elementary School,3,300,50,BERGEN,BERGENFIELD BORO,96
Jefferson Elementary School,3,300,60,BERGEN,BERGENFIELD BORO,96
Lincoln Elementary School,3,300,70,BERGEN,BERGENFIELD BORO,97
Roy W. Brown Middle School,3,300,75,BERGEN,BERGENFIELD BORO,96
Washington Elementary School,3,300,80,BERGEN,BERGENFIELD BORO,98
Bogota Jr./Sr. High School,3,440,20,BERGEN,BOGOTA BORO,96
E. Roy Bixby,3,440,30,BERGEN,BOGOTA BORO,98
Lillian M. Steen,3,440,50,BERGEN,BOGOTA BORO,97
CARLSTADT PUBLIC SCHOOL,3,740,50,BERGEN,CARLSTADT BORO,96
HENRY P. BECTON REGIONAL HIGH SCHOOL,3,745,50,BERGEN,CARLSTADT-EAST RUTHERFORD,93
Cliffside Park High School,3,890,30,BERGEN,CLIFFSIDE PARK BORO,93
School #3,3,890,50,BERGEN,CLIFFSIDE PARK BORO,96
School #4,3,890,60,BERGEN,CLIFFSIDE PARK BORO,92
School #5,3,890,70,BERGEN,CLIFFSIDE PARK BORO,95
School #6,3,890,80,BERGEN,CLIFFSIDE PARK BORO,93
HILLSIDE ELEMENTARY SCHOOL,3,930,50,BERGEN,CLOSTER BORO,94
TENAKILL MIDDLE SCHOOL,3,930,60,BERGEN,CLOSTER BORO,95
Cresskill High School,3,990,40,BERGEN,CRESSKILL BORO,96
Cresskill Middle School,3,990,45,BERGEN,CRESSKILL BORO,97
Edward H. Bryan,3,990,50,BERGEN,CRESSKILL BORO,97
Merritt Memorial,3,990,60,BERGEN,CRESSKILL BORO,97
County Road School,3,1070,30,BERGEN,DEMAREST BORO,97
Demarest Middle School,3,1070,40,BERGEN,DEMAREST BORO,98
Luther Lee Emerson School,3,1070,50,BERGEN,DEMAREST BORO,98
Dumont High School,3,1130,40,BERGEN,DUMONT BORO,97
Grant Elementary School,3,1130,50,BERGEN,DUMONT BORO,98
Honiss Elementary\Middle School,3,1130,60,BERGEN,DUMONT BORO,96
Lincoln Elementary School,3,1130,70,BERGEN,DUMONT BORO,97
Selzer Elementary\Middle School,3,1130,80,BERGEN,DUMONT BORO,99
ALFRED S. FAUST,3,1230,40,BERGEN,EAST RUTHERFORD BORO,97
MCKENZIE SCHOOL,3,1230,80,BERGEN,EAST RUTHERFORD BORO,97
Eleanor Van Gelder,3,1270,50,BERGEN,EDGEWATER BORO,97
George Washington School,3,1270,300,BERGEN,EDGEWATER BORO,97
Memorial Senior High School,3,1345,50,BERGEN,ELMWOOD PARK,97
Memorial Middle School,3,1345,60,BERGEN,ELMWOOD PARK,97
Gantner Avenue School,3,1345,70,BERGEN,ELMWOOD PARK,97
Gilbert Avenue School,3,1345,80,BERGEN,ELMWOOD PARK,97
Sixteenth Avenue School,3,1345,90,BERGEN,ELMWOOD PARK,98
Emerson Jr Sr High,3,1360,50,BERGEN,EMERSON BORO,98
Patrick M Villano School,3,1360,60,BERGEN,EMERSON BORO,98
Memorial School,3,1360,70,BERGEN,EMERSON BORO,98
Dwight Morrow High School/Academies@Englewood,3,1370,40,BERGEN,ENGLEWOOD CITY,93
Dr. Leroy McCloud Elementary School,3,1370,60,BERGEN,ENGLEWOOD CITY,91
Donald A. Quarles Early Childhood Center,3,1370,70,BERGEN,ENGLEWOOD CITY,96
Janis E. Dismus Middle School,3,1370,76,BERGEN,ENGLEWOOD CITY,92
Dr. John Grieco Elementary School,3,1370,86,BERGEN,ENGLEWOOD CITY,90
North Cliff School,3,1380,40,BERGEN,ENGLEWOOD CLIFFS BORO,100
Upper School,3,1380,60,BERGEN,ENGLEWOOD CLIFFS BORO,100
FAIR LAWN HIGH SCHOOL,3,1450,50,BERGEN,FAIR LAWN BORO,99
THOMAS JEFFERSON MIDDLE SCHOOL,3,1450,60,BERGEN,FAIR LAWN BORO,99
MEMORIAL MIDDLE SCHOOL,3,1450,70,BERGEN,FAIR LAWN BORO,99
HENRY B. MILNES ELEMENTARY SCHOOL,3,1450,80,BERGEN,FAIR LAWN BORO,99
JOHN A. FORREST ELEMENTARY SCHOOL,3,1450,85,BERGEN,FAIR LAWN BORO,99
LYNCREST ELEMENTARY SCHOOL,3,1450,100,BERGEN,FAIR LAWN BORO,99
RADBURN ELEMENTARY SCHOOL,3,1450,110,BERGEN,FAIR LAWN BORO,99
WARREN POINT ELEMENTARY SCHOOL,3,1450,140,BERGEN,FAIR LAWN BORO,99
WESTMORELAND ELEMENTARY SCHOOL,3,1450,160,BERGEN,FAIR LAWN BORO,99
Lincoln School,3,1470,60,BERGEN,FAIRVIEW BORO,96
Lincoln School Annex,3,1470,65,BERGEN,FAIRVIEW BORO,95
Number Three School,3,1470,80,BERGEN,FAIRVIEW BORO,96
Fort Lee High School,3,1550,50,BERGEN,FORT LEE BORO,94
School No. 1,3,1550,60,BERGEN,FORT LEE BORO,96
School No. 2,3,1550,70,BERGEN,FORT LEE BORO,96
School No. 3,3,1550,80,BERGEN,FORT LEE BORO,96
School No. 4,3,1550,90,BERGEN,FORT LEE BORO,94
Lewis F. Cole Middle School,3,1550,100,BERGEN,FORT LEE BORO,95
FRANKLIN AVENUE MIDDLE SCHOOL,3,1580,15,BERGEN,FRANKLIN LAKES BORO,97
HIGH MOUNTAIN ROAD SCHOOL,3,1580,20,BERGEN,FRANKLIN LAKES BORO,97
WOODSIDE AVENUE SCHOOL,3,1580,30,BERGEN,FRANKLIN LAKES BORO,97
COLONIAL ROAD SCHOOL,3,1580,40,BERGEN,FRANKLIN LAKES BORO,96
GARFIELD EARLY CHILDHOOD LEARNING CENTER,3,1700,40,BERGEN,GARFIELD CITY,96
GARFIELD HIGH SCHOOL,3,1700,50,BERGEN,GARFIELD CITY,97
CHRISTOPHER COLUMBUS SCHOOL #8,3,1700,60,BERGEN,GARFIELD CITY,98
GARFIELD MIDDLE SCHOOL,3,1700,70,BERGEN,GARFIELD CITY,97
ABRAHAM LINCOLN SCHOOL #6,3,1700,80,BERGEN,GARFIELD CITY,95
GARFIELD PUBLIC PRESCHOOL ANNEX,3,1700,86,BERGEN,GARFIELD CITY,96
ROOSEVELT SCHOOL #7,3,1700,100,BERGEN,GARFIELD CITY,98
WASHINGTON IRVING SCHOOL #4,3,1700,120,BERGEN,GARFIELD CITY,97
WOODROW WILSON SCHOOL #5,3,1700,130,BERGEN,GARFIELD CITY,94
JAMES MADISON SCHOOL #10,3,1700,205,BERGEN,GARFIELD CITY,97
GLEN ROCK HIGH SCHOOL,3,1760,50,BERGEN,GLEN ROCK BORO,96
GLEN ROCK MIDDLE SCHOOL,3,1760,60,BERGEN,GLEN ROCK BORO,95
ALEXANDER HAMILTON SCHOOL,3,1760,65,BERGEN,GLEN ROCK BORO,98
RICHARD E BYRD,3,1760,70,BERGEN,GLEN ROCK BORO,98
CENTRAL SCHOOL,3,1760,80,BERGEN,GLEN ROCK BORO,98
CLARA E COLEMAN SCHOOL,3,1760,90,BERGEN,GLEN ROCK BORO,97
Hackensack High School,3,1860,50,BERGEN,HACKENSACK CITY,95
Nellie K. Parker,3,1860,90,BERGEN,HACKENSACK CITY,94
Fairmount,3,1860,100,BERGEN,HACKENSACK CITY,95
Fanny Meyer Hillers,3,1860,110,BERGEN,HACKENSACK CITY,97
Jackson Avenue,3,1860,120,BERGEN,HACKENSACK CITY,95
Hackensack Middle School,3,1860,300,BERGEN,HACKENSACK CITY,95
Harrington Park School,3,2050,50,BERGEN,HARRINGTON PARK BORO,98
Hasbrouck Heights High School,3,2080,50,BERGEN,HASBROUCK HEIGHTS BORO,96
Hasbrouck Heights Middle School,3,2080,55,BERGEN,HASBROUCK HEIGHTS BORO,97
Euclid Elementary School,3,2080,60,BERGEN,HASBROUCK HEIGHTS BORO,97
Lincoln Elementary School,3,2080,80,BERGEN,HASBROUCK HEIGHTS BORO,97
