,SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
2379,Washington Memorial Elementary School,41,5480,55,WARREN,WASHINGTON BORO,2
2455,chARTer~TECH High School for the Performing Arts,80,7410,940,CHARTERS,chARTer~TECH HIGH SCHOOL,3
2380,Taylor Street Elementary School,41,5480,60,WARREN,WASHINGTON BORO,3
2443,Hoboken Charter School,80,6720,930,CHARTERS,Hoboken CS,4
624,Winslow Township Middle School,7,5820,20,CAMDEN,WINSLOW TWP,5
2015,Macopin Middle School,31,5650,55,PASSAIC,WEST MILFORD TWP,8
292,Cherry Hill School,3,4410,30,BERGEN,RIVER EDGE BORO,10
798,Hartshorn School,13,3190,80,ESSEX,MILLBURN TWP,11
2144,MARIAN E. MCKEOWN ELEMENTARY SCHOOL,37,1980,50,SUSSEX,HAMPTON TWP,54
2426,College Achieve Central Charter School,80,6101,992,CHARTERS,College Achieve Central Charter School,67
597,A E BURLING ELEMENTARY SCHOOL,7,4060,104,CAMDEN,PENNSAUKEN TWP,71
603,ROOSEVELT ELEMENTARY SCHOOL,7,4060,180,CAMDEN,PENNSAUKEN TWP,72
1447,Bradley Elementary School,25,100,40,MONMOUTH,ASBURY PARK CITY,75
548,Gloucester City Jr. Sr. High School,7,1770,50,CAMDEN,GLOUCESTER CITY,77
601,LONGFELLOW ELEMENTARY SCHOOL,7,4060,160,CAMDEN,PENNSAUKEN TWP,78
