COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
7,680,CAMDEN,CAMDEN CITY,13799,13723,12608,11660,11164,9294,-4505
29,5190,OCEAN,TOMS RIVER REGIONAL,16955,16777,16574.5,16133.5,15759,15731.5,-1223.5
15,5500,GLOUCESTER,WASHINGTON TWP,8427,8039,7935,7636,7435,7323,-1104
29,530,OCEAN,BRICK TWP,9961,9774,9586,9389.5,9144.5,8905,-1056
29,2360,OCEAN,JACKSON TWP,9584,9391.5,9134,8979.5,8746,8657.5,-926.5
21,1950,MERCER,HAMILTON TWP,12433.5,12308.5,12114,11968.5,11782.5,11529.5,-904
7,1780,CAMDEN,GLOUCESTER TWP,7258,7017,6929,6721,6488,6362,-896
25,1650,MONMOUTH,FREEHOLD REGIONAL,11865,11310,11446.5,11270.5,11133,10976,-889
25,3030,MONMOUTH,MARLBORO TWP,5737,4587,5367,5245,5092,5006,-731
13,1210,ESSEX,EAST ORANGE,9944,9709,9657.5,9460,9549.5,9218.5,-725.5
25,2290,MONMOUTH,HOWELL TWP,6641,6522,6365,6269,6123,5970,-671
31,5570,PASSAIC,WAYNE TWP,8679,8560,8381,8331.5,7973.5,8021,-658
25,3160,MONMOUTH,MIDDLETOWN TWP,10263,9934.5,9834.5,9733.5,9645,9628,-635
5,2610,BURLINGTON,LENAPE REGIONAL,7375,7215,7064,6976,6841,6756,-619
37,4960,SUSSEX,SPARTA TWP,3873,3693,3362,3232,3290.5,3274.5,-598.5
1,1790,ATLANTIC,GREATER EGG HARBOR REG,3856,3693,3633,3483,3312,3273,-583
29,2480,OCEAN,LACEY TWP,4688.5,4586.5,4510,4466,4289.5,4120,-568.5
1,590,ATLANTIC,BUENA REGIONAL,2420,2339,2181.5,2038.5,1830,1878,-542
5,5805,BURLINGTON,WILLINGBORO TWP,4201,4353,3952,3901,3747,3660,-541
35,1610,SOMERSET,FRANKLIN TWP,7865,7763,7653,7638,7512.5,7324.5,-540.5
37,5360,SUSSEX,VERNON TWP,3710,3806.5,3626,3502.5,3328,3180,-530
25,1660,MONMOUTH,FREEHOLD TWP,4350,4256,4135,4056,3906,3824,-526
37,2240,SUSSEX,HOPATCONG,2113,2020,1901.5,1750,1669,1588,-525
25,5420,MONMOUTH,WALL TWP,4098.5,3876.5,3785.5,3705,3622.5,3599,-499.5
27,4330,MORRIS,RANDOLPH TWP,5283.5,5179.5,5060.5,4918,4819,4788,-495.5
27,4560,MORRIS,ROXBURY TWP,4156.5,4008.5,3889.5,3730,3696.5,3669,-487.5
23,3845,MIDDLESEX,OLD BRIDGE TWP,9402.5,9193.5,9103.5,8894.5,8975,8919,-483.5
13,2330,ESSEX,IRVINGTON TOWNSHIP,7168,7046,6502,6684,6888,6688,-480
19,1510,HUNTERDON,FLEMINGTON-RARITAN REG,3625,3543,3504,3388,3339,3151,-474
